#,Word,Link,POS,Definition
186,benefit,https://www.handspeak.com/word/b/benefit.mp4,NN,
187,Bern,https://www.handspeak.com/word/b/bern-ch.mp4,NNP,
188,best,https://www.handspeak.com/word/b/best.mp4,JJS,
189,better,https://www.handspeak.com/word/b/better.mp4,RBR,
190,between,https://www.handspeak.com/word/b/between.mp4,IN,
191,Bhaktapur,https://www.handspeak.com/word/b/bhaktapur.mp4,NNP,
192,bible,https://www.handspeak.com/word/b/bible.mp4,JJ,
193,bicycle,https://www.handspeak.com/word/b/bicycle.mp4,NN,
194,bid,https://www.handspeak.com/word/b/bid.mp4,NN,
195,big,https://www.handspeak.com/word/b/big.mp4,JJ,
196,"bin Laden, Osama",https://www.handspeak.com/word/b/bin-laden.mp4,NN,
197,binocular,https://www.handspeak.com/word/b/binocular.mp4,NN,
198,bird,https://www.handspeak.com/word/b/bird.mp4,NN,
199,birthday,https://www.handspeak.com/word/b/birthday.mp4,NN,
200,birthdate,https://www.handspeak.com/word/b/birthdate.mp4,NN,
201,what else,https://www.handspeak.com/word/w/what-else.mp4,WP,
202,bite,https://www.handspeak.com/word/b/bite-something.mp4,NN,
203,gnaw,https://www.handspeak.com/word/g/gnaw-bite.mp4,NN,
204,hearing impaired,https://www.handspeak.com/word/h/hearing- impaired.mp4,NN,
205,bitter,https://www.handspeak.com/word/b/bitter.mp4,NN,
206,acid,https://www.handspeak.com/word/a/acid-fs.mp4,NN,
207,board of directors,https://www.handspeak.com/word/b/board-org.mp4,NN,
208,boat,https://www.handspeak.com/word/b/boat.mp4,NN,
209,body,https://www.handspeak.com/word/b/body.mp4,NN,
210,book,https://www.handspeak.com/word/b/book.mp4,NN,
211,book art,https://www.handspeak.com/word/b/book-art.mp4,NN,
212,bookcase,https://www.handspeak.com/word/b/bookcase.mp4,NN,
213,bored,https://www.handspeak.com/word/b/bored.mp4,VBN,
214,bland,https://www.handspeak.com/word/b/bland-taste.mp4,NN,
215,born,https://www.handspeak.com/word/b/born.mp4,NN,
216,borrow,https://www.handspeak.com/word/b/borrow.mp4,NN,
217,bother,https://www.handspeak.com/word/b/bother.mp4,NN,
218,bottle,https://www.handspeak.com/word/b/bottle.mp4,NN,
219,bottom,https://www.handspeak.com/word/b/bottom.mp4,NN,
220,bounce,https://www.handspeak.com/word/b/bounce-ball.mp4,NN,
221,bounce rate,https://www.handspeak.com/word/b/bounce.mp4,NN,
222,bowl,https://www.handspeak.com/word/b/bowl.mp4,NN,
223,boy,https://www.handspeak.com/word/b/boy.mp4,NN,
224,boyfriend,https://www.handspeak.com/word/b/boyfriend.mp4,NN,
225,black,https://www.handspeak.com/word/b/black.mp4,JJ,
226,blame,https://www.handspeak.com/word/b/blame.mp4,NN,
227,bless,https://www.handspeak.com/word/b/bless.mp4,NN,
228,blind,https://www.handspeak.com/word/b/blind.mp4,NN,
229,gentleman,https://www.handspeak.com/word/g/gentleman.mp4,NN,
